Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bahrain,BHR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.94801992,109.5332242,208.4706791,247.9032782,288.9059372,328.0239618,346.474343,359.4199484,370.8331448,
"Bahamas, The",BHS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.2570223,414.3757804,530.826439,620.9691476,739.2757795,1002.121826,1053.102286,1508.797389,2357.120631,
Bosnia and Herzegovina,BIH,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87433072,18.02699953,33.84214912,41.49488865,61.74427875,82.23106287,188.4080611,1499.018209,1934.758534,
Belarus,BLR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.057645036,9.07826861,25.46358786,38.66470695,61.11133334,107.5912872,438.9817476,2259.886649,3419.997879,
Belize,BLZ,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.9773742,281.6159304,979.2899408,1015.287158,834.8284781,1141.486093,1517.372421,8002.256706,11595.76162,
Bermuda,BMU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3562.43474,5529.397187,6682.305009,7292.195505,7768.003807,8093.318414,8132.600108,7874.878667,8144.697349,
Bolivia,BOL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.771954075,8.126933696,10.503315,14.22829161,18.4934092,26.67959554,37.89041747,109.5341724,130.1842257,
Brazil,BRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25045889,44.09295774,70.54639348,86.83026136,112.3376426,158.9608197,410.044364,1581.638554,2036.384009,
Barbados,BRB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.855996,247.3611862,292.5625661,383.4032136,477.4861757,574.7851565,643.8158687,768.6045984,868.6824285,
Brunei Darussalam,BRN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.16856986,58.42189754,122.8104033,150.8329192,241.5995353,573.6225226,612.1962839,1620.833363,1988.521128,
Bhutan,BTN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.458782821,2.884762397,11.40278485,9.855851137,18.07925947,19.23404536,36.64947761,118.0308168,177.6260151,
Botswana,BWA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52920203,5.954147113,9.806079868,10.66648049,19.15145642,35.36541432,50.92724626,68.47675056,133.5329081,
Central African Republic,CAF,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.224005555,0.222560019,0.220376593,0.435158358,0.642897048,
Canada,CAN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.697909,1641.936616,2146.094474,2362.885406,2697.825054,3386.894983,10221.44125,26568.88012,30952.30463,
Central Europe and the Baltics,CEB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.2756421,220.5059959,401.7017584,523.6626057,702.6442976,989.7755763,4145.887896,13204.82901,21424.92265,
Switzerland,CHE,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.601523,2439.083575,3486.493013,3954.955073,4897.999658,6938.08893,17196.72608,32951.99625,68137.03635,
Channel Islands,CHI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.30026861,64.40915107,102.9289818,127.4221955,165.156077,223.9924832,1237.18578,7258.192401,8073.293196,
China,CHN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.199068554,1.957399954,3.775833923,5.156256907,9.759065288,19.68247254,47.91156662,209.120056,446.7068276,
Cote d'Ivoire,CIV,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535724287,0.665758224,1.809980959,2.444821178,3.444060922,5.037427006,6.044651336,8.675202821,11.64774553,
Cameroon,CMR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344128463,0.430490432,0.884326962,1.268271144,1.807612057,2.231915987,2.800237845,8.548384569,5.433007312,
"Congo, Dem. Rep.",COD,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06195417,0.074900585,0.173860767,0.154150559,0.352458992,0.511512011,0.634605331,2.555321356,2.819143354,
"Congo, Rep.",COG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.227539362,1.773758048,1.94688845,3.166578495,3.706682015,4.617547604,4.69602806,6.101789674,
Colombia,COL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50357453,14.89167435,30.40572567,41.35726945,54.73798803,71.31633906,320.0032085,462.9755924,651.3364855,
Comoros,COM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.415289943,0,1.348608573,3.950539249,1.286299368,59.07550604,4.914656982,7.208748537,
Cabo Verde,CPV,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35786576,28.06421091,61.35758607,62.53077687,75.25049733,74.32209672,112.9632907,260.46657,498.3752232,
Costa Rica,CRI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5527326,137.9210315,163.609215,272.8744839,305.0842934,312.9251925,489.8613998,1161.424934,1205.934824,
Caribbean small states,CSS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1294059,95.69395705,150.1555637,176.4623634,200.4618429,268.0619179,357.5267567,761.4501182,1023.105831,
Cuba,CUB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089080257,0,0,,0.088441555,0.088301928,2.8230871,8.466161678,16.05201842,
Curacao,CUW,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13.15028142,1313.206173,1455.977525,2525.636156,2912.365969,3165.287966,3784.821926,
Cayman Islands,CYM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.312818,2937.212758,3935.00458,3754.254822,4338.679989,4973.754131,5226.230242,6058.502414,11531.14969,
